article_title,country,population,region,revision_id,article_quality
Jofre Van-Dúnem Júnior,Angola,36.7,MIDDLE AFRICA,76157150,Stub
José Carvalho da Rocha,Angola,36.7,MIDDLE AFRICA,76157101,B
José Luis de Matos,Angola,36.7,MIDDLE AFRICA,76157091,Start
Kambamba Kulaxingo,Angola,36.7,MIDDLE AFRICA,15020148,Stub
Jesus Faria Maiato,Angola,36.7,MIDDLE AFRICA,76157012,Start
Manuel Neto da Costa,Angola,36.7,MIDDLE AFRICA,76151935,B
Manuel Tavares de Almeida,Angola,36.7,MIDDLE AFRICA,76151917,B
Marcos Alexandre Nhunga,Angola,36.7,MIDDLE AFRICA,76151884,B
Maria Cândida Pereira Teixeira,Angola,36.7,MIDDLE AFRICA,76151944,Start
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,36.7,MIDDLE AFRICA,76156747,Stub
David Mendes,Angola,36.7,MIDDLE AFRICA,11645534,B
Saíde Mingas,Angola,36.7,MIDDLE AFRICA,76496943,GA
Fernando Faustino Muteka,Angola,36.7,MIDDLE AFRICA,59144241,Start
Pedro Mutinde,Angola,36.7,MIDDLE AFRICA,76156762,Stub
José Ndele,Angola,36.7,MIDDLE AFRICA,57583596,B
Ana Paula Sacramento Neto,Angola,36.7,MIDDLE AFRICA,76157147,B
Daniel Ntongi-Nzinga,Angola,36.7,MIDDLE AFRICA,15350356,B
Paula Cristina Francisco Coelho,Angola,36.7,MIDDLE AFRICA,76151960,C
Pedro Pedalé,Angola,36.7,MIDDLE AFRICA,59124349,B
Elias Salupeto Pena,Angola,36.7,MIDDLE AFRICA,12740205,Start
Johnny Eduardo Pinnock,Angola,36.7,MIDDLE AFRICA,57651944,Stub
Santana André Pitra,Angola,36.7,MIDDLE AFRICA,59124543,Start
Francisco Manuel Monteiro de Queiróz,Angola,36.7,MIDDLE AFRICA,78105044,B
José Aníbal Lopes Rocha,Angola,36.7,MIDDLE AFRICA,59124604,FA
José da Rocha,Angola,36.7,MIDDLE AFRICA,70373537,Start
Rosa Luís de Sousa Micolo,Angola,36.7,MIDDLE AFRICA,76157000,Stub
Luís Gomes Sambo,Angola,36.7,MIDDLE AFRICA,71062374,Start
Branca Manuel Espirito Santo,Angola,36.7,MIDDLE AFRICA,70373382,Start
João Ernesto dos Santos,Angola,36.7,MIDDLE AFRICA,72340359,Stub
José Filomeno dos Santos,Angola,36.7,MIDDLE AFRICA,41153135,Stub
Jonas Savimbi,Angola,36.7,MIDDLE AFRICA,264097,Start
Pinda Simão,Angola,36.7,MIDDLE AFRICA,70373806,Start
Manuel Bernardo de Sousa,Angola,36.7,MIDDLE AFRICA,59144188,Stub
Augusto da Silva Tomás,Angola,36.7,MIDDLE AFRICA,59144273,Stub
José Jacinto Van-Dúnem,Angola,36.7,MIDDLE AFRICA,77643490,B
José Vieira Dias Van-Dúnem,Angola,36.7,MIDDLE AFRICA,76156726,B
Luzia Inglês Van-Dúnem,Angola,36.7,MIDDLE AFRICA,66363558,B
Manuel Vicente,Angola,36.7,MIDDLE AFRICA,34653679,Start
